song_id,metric,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness
song_1,diff_mean,0.1042,0.2291,0.0000,0.1250,0.5417,0.3542,0.5000,0.0000,0.2708
song_1,diff_std,0.0801,0.1659,0.0000,0.0818,0.2077,0.3413,0.2166,0.0000,0.2636
song_10,diff_mean,0.0588,0.0588,0.1765,0.1176,0.0000,0.5295,0.4118,0.1764,0.0000
song_10,diff_std,0.0314,0.0314,0.3812,0.3222,0.0000,0.1557,0.0537,0.0967,0.0000
song_11,diff_mean,0.2200,0.0200,0.0800,0.1200,0.1200,0.2800,0.3400,0.5800,0.0400
song_11,diff_std,0.1487,0.0220,0.2713,0.2070,0.1706,0.0353,0.0364,0.2425,0.0975
song_12,diff_mean,0.0222,0.1334,0.4444,0.4222,0.0889,0.2889,0.0222,0.3777,0.5111
song_12,diff_std,0.0257,0.0551,0.2143,0.1315,0.0225,0.2654,0.0587,0.2475,0.1388
song_13,diff_mean,0.1791,0.1540,0.3354,0.3268,0.2310,0.0177,0.1285,0.1531,0.2715
song_13,diff_std,0.1099,0.1571,0.1445,0.1114,0.0067,0.0233,0.1572,0.2121,0.2137
song_14,diff_mean,0.3636,0.2727,0.1818,0.1818,0.4546,0.1818,0.1819,0.1819,0.0000
song_14,diff_std,0.2104,0.1935,0.3857,0.1578,0.0953,0.0526,0.0169,0.0169,0.0001
song_15,diff_mean,0.0909,0.2727,0.2727,0.0909,0.0000,0.2727,0.4545,0.5455,0.0909
song_15,diff_std,0.0982,0.1935,0.4454,0.0982,0.0000,0.4454,0.4979,0.1935,0.2875
song_16,diff_mean,0.2150,0.0247,0.0217,0.0830,0.0510,0.0840,0.0487,0.3460,0.0620
song_16,diff_std,0.3850,0.0577,0.0056,0.2540,0.2050,0.0250,0.0320,0.1580,0.2190
song_17,diff_mean,0.0909,0.2727,0.0909,0.0000,0.0909,0.1819,0.5455,0.7273,0.0909
song_17,diff_std,0.0356,0.1935,0.0982,0.0000,0.2875,0.0169,0.1935,0.0982,0.2875
song_18,diff_mean,0.1818,0.0000,0.1818,0.0000,0.5455,0.5455,0.5455,0.0000,0.0000
song_18,diff_std,0.1579,0.0000,0.0953,0.0000,0.0597,0.4979,0.1935,0.0000,0.0000
song_19,diff_mean,0.1818,0.2727,0.1818,0.0909,0.2727,0.2728,0.5455,0.2727,0.0000
song_19,diff_std,0.1579,0.1935,0.3857,0.0597,0.4454,0.0525,0.0597,0.1935,0.0000
song_2,diff_mean,0.1915,0.0639,0.3191,0.3829,0.5532,0.4893,0.5957,0.2128,0.1702
song_2,diff_std,0.1683,0.0533,0.3295,0.2926,0.3501,0.3556,0.2786,0.4093,0.2492
song_20,diff_mean,0.0909,0.0909,0.6364,0.2728,0.2728,0.3636,0.2727,0.3636,0.1818
song_20,diff_std,0.0982,0.0597,0.4810,0.0525,0.0525,0.2104,0.1935,0.4810,0.3857
song_21,diff_mean,0.0943,0.2641,0.3774,0.3208,0.5661,0.0189,0.2265,0.0944,0.2831
